Project_ID,Project_Name,Region,Province,Month,Budget,Actual_Spend,KPI_Target,KPI_Actual,Participants,Satisfaction
P00001,Community Health,North,Chiang Mai,Jan,956362,920076,100,77,352,4.11
P00002,Elderly Care,North,Chiang Mai,Jan,1350306,1040121,100,66,1358,4.36
P00003,Mental Health,North,Chiang Mai,Jan,1173689,847281,100,67,1719,4.49
P00004,Healthy School,North,Chiang Mai,Jan,552378,516830,100,94,2456,4.88
P00005,Food Safety,North,Chiang Mai,Jan,1164653,1007517,100,71,2684,4.53
P00006,NCD Prevention,North,Chiang Mai,Jan,1795828,1684093,100,61,523,4.47
P00007,Health Data,North,Chiang Mai,Jan,1270183,1230020,100,84,1246,4.5
P00008,Health Promotion,North,Chiang Mai,Jan,1049115,978691,100,78,356,3.81
P00009,Policy Development,North,Chiang Mai,Jan,1878286,1477041,100,83,2570,4.91
P00010,Network Strengthening,North,Chiang Mai,Jan,611954,494798,100,96,2033,4.22
P00011,Community Health,North,Chiang Mai,Feb,1390514,1298307,100,60,735,3.58
P00012,Elderly Care,North,Chiang Mai,Feb,1936727,1465254,100,92,1387,3.69
P00013,Mental Health,North,Chiang Mai,Feb,1644132,1473708,100,88,1766,4.43
P00014,Healthy School,North,Chiang Mai,Feb,930461,779748,100,77,175,3.98
P00015,Food Safety,North,Chiang Mai,Feb,1651417,1615887,100,96,1538,4.61
P00016,NCD Prevention,North,Chiang Mai,Feb,1592706,1540414,100,98,1150,3.81
P00017,Health Data,North,Chiang Mai,Feb,784187,643730,100,95,2949,4.74
P00018,Health Promotion,North,Chiang Mai,Feb,1240016,1195673,100,79,2643,4.26
P00019,Policy Development,North,Chiang Mai,Feb,806441,674612,100,67,2924,4.22
P00020,Network Strengthening,North,Chiang Mai,Feb,788636,782192,100,68,1168,4.36
P00021,Community Health,North,Chiang Mai,Mar,1986790,1404247,100,87,216,3.5
P00022,Elderly Care,North,Chiang Mai,Mar,1606786,1323317,100,78,1693,3.55
P00023,Mental Health,North,Chiang Mai,Mar,876641,636306,100,93,2349,4.73
P00024,Healthy School,North,Chiang Mai,Mar,1843715,1351705,100,87,150,4.41
P00025,Food Safety,North,Chiang Mai,Mar,1793444,1657443,100,94,1142,4.19
P00026,NCD Prevention,North,Chiang Mai,Mar,1247220,1116064,100,100,2057,4.19
P00027,Health Data,North,Chiang Mai,Mar,1186603,1084000,100,64,1506,3.59
P00028,Health Promotion,North,Chiang Mai,Mar,543647,500973,100,74,1108,3.64
P00029,Policy Development,North,Chiang Mai,Mar,1978796,1880383,100,97,2650,3.92
P00030,Network Strengthening,North,Chiang Mai,Mar,1790829,1286194,100,63,1714,4.16
P00031,Community Health,North,Chiang Mai,Apr,1054714,774552,100,75,1077,3.83
P00032,Elderly Care,North,Chiang Mai,Apr,953017,776642,100,60,2702,4.79
P00033,Mental Health,North,Chiang Mai,Apr,716939,649586,100,62,2953,4.41
P00034,Healthy School,North,Chiang Mai,Apr,1307925,1218916,100,94,252,4.5
P00035,Food Safety,North,Chiang Mai,Apr,1073211,883373,100,70,801,4.33
P00036,NCD Prevention,North,Chiang Mai,Apr,511148,411094,100,78,1846,3.51
P00037,Health Data,North,Chiang Mai,Apr,770283,579063,100,85,2604,4.41
P00038,Health Promotion,North,Chiang Mai,Apr,714145,644450,100,96,2857,4.31
P00039,Policy Development,North,Chiang Mai,Apr,1928211,1672809,100,63,1608,3.67
P00040,Network Strengthening,North,Chiang Mai,Apr,1109471,915059,100,73,2426,3.96
P00041,Community Health,North,Chiang Mai,May,669763,596205,100,92,2247,4.74
P00042,Elderly Care,North,Chiang Mai,May,1197448,1147225,100,86,767,3.77
P00043,Mental Health,North,Chiang Mai,May,1196382,868599,100,75,1146,4.14
P00044,Healthy School,North,Chiang Mai,May,1202763,992868,100,86,231,4.27
P00045,Food Safety,North,Chiang Mai,May,816806,780824,100,72,1307,4.69
P00046,NCD Prevention,North,Chiang Mai,May,1877083,1697119,100,68,1328,4.87
P00047,Health Data,North,Chiang Mai,May,1329977,1161770,100,61,1345,3.79
P00048,Health Promotion,North,Chiang Mai,May,1767861,1603940,100,91,2236,4.36
P00049,Policy Development,North,Chiang Mai,May,1437989,1076609,100,69,2305,4.65
P00050,Network Strengthening,North,Chiang Mai,May,1127266,817081,100,68,2422,4.78
P00051,Community Health,North,Chiang Mai,Jun,1885105,1475689,100,76,2697,3.93
P00052,Elderly Care,North,Chiang Mai,Jun,717072,695983,100,82,2004,4.16
P00053,Mental Health,North,Chiang Mai,Jun,517583,503937,100,81,1614,4.93
P00054,Healthy School,North,Chiang Mai,Jun,726907,606854,100,74,2149,3.84
P00055,Food Safety,North,Chiang Mai,Jun,640545,560817,100,74,955,4.91
P00056,NCD Prevention,North,Chiang Mai,Jun,929698,787436,100,91,2863,3.88
P00057,Health Data,North,Chiang Mai,Jun,891856,790151,100,89,488,4.11
P00058,Health Promotion,North,Chiang Mai,Jun,1467012,1176534,100,98,1533,4.54
P00059,Policy Development,North,Chiang Mai,Jun,713417,632592,100,83,1796,4.7
P00060,Network Strengthening,North,Chiang Mai,Jun,1439085,1318369,100,70,1054,3.64
P00061,Community Health,North,Chiang Mai,Jul,953668,903550,100,81,2824,4.99
P00062,Elderly Care,North,Chiang Mai,Jul,1962796,1876953,100,100,1529,4.92
P00063,Mental Health,North,Chiang Mai,Jul,1347209,1323079,100,73,2182,4.09
P00064,Healthy School,North,Chiang Mai,Jul,673756,511372,100,89,2001,3.52
P00065,Food Safety,North,Chiang Mai,Jul,509683,384960,100,64,1776,4.81
P00066,NCD Prevention,North,Chiang Mai,Jul,569427,435131,100,87,1770,4.18
P00067,Health Data,North,Chiang Mai,Jul,1716261,1378823,100,80,1797,4.31
P00068,Health Promotion,North,Chiang Mai,Jul,1828191,1565095,100,69,2303,3.89
P00069,Policy Development,North,Chiang Mai,Jul,1667674,1332221,100,91,2708,4.5
P00070,Network Strengthening,North,Chiang Mai,Jul,1810850,1756343,100,95,637,4.11
P00071,Community Health,North,Chiang Mai,Aug,1141711,818331,100,96,919,3.85
P00072,Elderly Care,North,Chiang Mai,Aug,1803466,1585051,100,99,2043,4.68
P00073,Mental Health,North,Chiang Mai,Aug,1018552,771344,100,75,1696,4.91
P00074,Healthy School,North,Chiang Mai,Aug,1587890,1138368,100,93,893,4.9
P00075,Food Safety,North,Chiang Mai,Aug,1869564,1385612,100,68,2873,3.63
P00076,NCD Prevention,North,Chiang Mai,Aug,989409,798777,100,86,1517,4.14
P00077,Health Data,North,Chiang Mai,Aug,1016008,724497,100,82,982,3.61
P00078,Health Promotion,North,Chiang Mai,Aug,1493064,1222131,100,69,1587,4.78
P00079,Policy Development,North,Chiang Mai,Aug,1062441,857514,100,86,1765,4.0
P00080,Network Strengthening,North,Chiang Mai,Aug,1241247,871928,100,98,2589,4.61
P00081,Community Health,North,Chiang Mai,Sep,1115481,817302,100,91,1589,3.59
P00082,Elderly Care,North,Chiang Mai,Sep,1286998,1111477,100,66,1435,3.71
P00083,Mental Health,North,Chiang Mai,Sep,1452561,1043905,100,99,1426,3.81
P00084,Healthy School,North,Chiang Mai,Sep,1787539,1371193,100,72,2059,3.67
P00085,Food Safety,North,Chiang Mai,Sep,635683,569743,100,64,2372,4.74
P00086,NCD Prevention,North,Chiang Mai,Sep,1078700,796890,100,66,1522,4.41
P00087,Health Data,North,Chiang Mai,Sep,982383,822903,100,71,2890,3.89
P00088,Health Promotion,North,Chiang Mai,Sep,894245,833558,100,99,1720,4.48
P00089,Policy Development,North,Chiang Mai,Sep,538922,444664,100,83,1609,4.8
P00090,Network Strengthening,North,Chiang Mai,Sep,537289,376707,100,82,1236,3.69
P00091,Community Health,North,Chiang Mai,Oct,1377472,1111366,100,93,1174,4.8
P00092,Elderly Care,North,Chiang Mai,Oct,782616,678470,100,96,2163,4.51
P00093,Mental Health,North,Chiang Mai,Oct,1838423,1743340,100,99,1087,3.79
P00094,Healthy School,North,Chiang Mai,Oct,550442,492899,100,78,995,4.21
P00095,Food Safety,North,Chiang Mai,Oct,1392919,985654,100,99,2399,4.54
P00096,NCD Prevention,North,Chiang Mai,Oct,1277771,1035829,100,77,2342,4.22
P00097,Health Data,North,Chiang Mai,Oct,826011,762984,100,96,1700,4.29
P00098,Health Promotion,North,Chiang Mai,Oct,1491177,1357692,100,65,421,4.24
P00099,Policy Development,North,Chiang Mai,Oct,518012,485400,100,61,2119,4.91
P00100,Network Strengthening,North,Chiang Mai,Oct,1362019,1271424,100,99,994,4.05
P00101,Community Health,North,Chiang Mai,Nov,563276,519987,100,69,1647,4.33
P00102,Elderly Care,North,Chiang Mai,Nov,1399355,1132729,100,77,363,3.85
P00103,Mental Health,North,Chiang Mai,Nov,1148491,1013087,100,90,1494,3.62
P00104,Healthy School,North,Chiang Mai,Nov,1829572,1680484,100,74,741,4.14
P00105,Food Safety,North,Chiang Mai,Nov,1403786,995998,100,81,2898,4.87
P00106,NCD Prevention,North,Chiang Mai,Nov,1736300,1278027,100,95,960,4.86
P00107,Health Data,North,Chiang Mai,Nov,1993140,1645422,100,97,1124,4.08
P00108,Health Promotion,North,Chiang Mai,Nov,1116935,897860,100,83,1238,4.65
P00109,Policy Development,North,Chiang Mai,Nov,1973525,1411974,100,67,2039,3.86
P00110,Network Strengthening,North,Chiang Mai,Nov,542164,451660,100,71,2024,4.43
P00111,Community Health,North,Chiang Mai,Dec,961768,903244,100,72,2411,4.99
P00112,Elderly Care,North,Chiang Mai,Dec,909591,837338,100,89,720,3.53
P00113,Mental Health,North,Chiang Mai,Dec,709505,512007,100,79,391,4.84
P00114,Healthy School,North,Chiang Mai,Dec,1656346,1511146,100,87,1796,4.53
P00115,Food Safety,North,Chiang Mai,Dec,1947007,1576537,100,72,994,4.68
P00116,NCD Prevention,North,Chiang Mai,Dec,670568,538610,100,80,487,3.77
P00117,Health Data,North,Chiang Mai,Dec,540234,520393,100,97,724,4.14
P00118,Health Promotion,North,Chiang Mai,Dec,1682436,1574607,100,72,270,4.18
P00119,Policy Development,North,Chiang Mai,Dec,1417574,1249549,100,71,1288,3.74
P00120,Network Strengthening,North,Chiang Mai,Dec,1994163,1953400,100,98,2026,3.89
P00121,Community Health,North,Chiang Rai,Jan,642066,492027,100,99,925,4.06
P00122,Elderly Care,North,Chiang Rai,Jan,1079664,839596,100,97,2437,3.88
P00123,Mental Health,North,Chiang Rai,Jan,692938,677169,100,94,1657,4.15
P00124,Healthy School,North,Chiang Rai,Jan,1780124,1631828,100,85,2344,4.81
P00125,Food Safety,North,Chiang Rai,Jan,849071,774112,100,100,2751,4.82
P00126,NCD Prevention,North,Chiang Rai,Jan,1154685,1013930,100,96,1332,3.54
P00127,Health Data,North,Chiang Rai,Jan,1126570,806884,100,98,2128,3.74
P00128,Health Promotion,North,Chiang Rai,Jan,951229,873622,100,75,360,3.75
P00129,Policy Development,North,Chiang Rai,Jan,656580,559896,100,95,1449,4.04
P00130,Network Strengthening,North,Chiang Rai,Jan,977478,813241,100,79,635,4.25
P00131,Community Health,North,Chiang Rai,Feb,1616473,1442457,100,87,1510,4.72
P00132,Elderly Care,North,Chiang Rai,Feb,867051,647377,100,80,575,3.51
P00133,Mental Health,North,Chiang Rai,Feb,709971,633162,100,88,729,4.74
P00134,Healthy School,North,Chiang Rai,Feb,1137561,920037,100,70,421,4.69
P00135,Food Safety,North,Chiang Rai,Feb,1626215,1622631,100,84,1630,3.62
P00136,NCD Prevention,North,Chiang Rai,Feb,965076,920473,100,88,2633,3.79
P00137,Health Data,North,Chiang Rai,Feb,1938104,1774030,100,74,176,4.58
P00138,Health Promotion,North,Chiang Rai,Feb,1019366,909965,100,95,540,4.3
P00139,Policy Development,North,Chiang Rai,Feb,1981371,1778031,100,90,2326,4.97
P00140,Network Strengthening,North,Chiang Rai,Feb,1274469,954883,100,86,2253,4.21
P00141,Community Health,North,Chiang Rai,Mar,581373,567098,100,86,1412,4.09
P00142,Elderly Care,North,Chiang Rai,Mar,966748,851123,100,91,331,4.07
P00143,Mental Health,North,Chiang Rai,Mar,1103225,947824,100,87,722,4.68
P00144,Healthy School,North,Chiang Rai,Mar,1840491,1702723,100,91,2947,4.96
P00145,Food Safety,North,Chiang Rai,Mar,1905938,1461281,100,62,2005,4.33
P00146,NCD Prevention,North,Chiang Rai,Mar,1653954,1263831,100,96,1501,4.93
P00147,Health Data,North,Chiang Rai,Mar,695821,632580,100,87,1127,4.84
P00148,Health Promotion,North,Chiang Rai,Mar,1619775,1506319,100,96,1560,4.51
P00149,Policy Development,North,Chiang Rai,Mar,554823,487525,100,60,2066,3.65
P00150,Network Strengthening,North,Chiang Rai,Mar,1215246,998087,100,98,1358,4.13
P00151,Community Health,North,Chiang Rai,Apr,1865537,1801512,100,85,2701,3.73
P00152,Elderly Care,North,Chiang Rai,Apr,1387496,1076328,100,81,1746,3.51
P00153,Mental Health,North,Chiang Rai,Apr,593301,531792,100,64,1167,4.33
P00154,Healthy School,North,Chiang Rai,Apr,1239807,1048585,100,91,1841,3.9
P00155,Food Safety,North,Chiang Rai,Apr,786237,634450,100,75,1164,4.48
P00156,NCD Prevention,North,Chiang Rai,Apr,514918,472441,100,86,1744,3.65
P00157,Health Data,North,Chiang Rai,Apr,554972,497814,100,73,158,4.87
P00158,Health Promotion,North,Chiang Rai,Apr,1345146,1252022,100,99,2647,3.97
P00159,Policy Development,North,Chiang Rai,Apr,862002,654597,100,80,975,4.01
P00160,Network Strengthening,North,Chiang Rai,Apr,1339082,1024202,100,72,1981,4.4
P00161,Community Health,North,Chiang Rai,May,1859968,1672387,100,67,390,4.11
P00162,Elderly Care,North,Chiang Rai,May,640850,501984,100,93,1865,4.78
P00163,Mental Health,North,Chiang Rai,May,1614829,1303985,100,84,557,4.0
P00164,Healthy School,North,Chiang Rai,May,1167609,1063642,100,70,250,4.03
P00165,Food Safety,North,Chiang Rai,May,935736,676494,100,70,1940,3.78
P00166,NCD Prevention,North,Chiang Rai,May,1100841,1100770,100,61,1195,3.92
P00167,Health Data,North,Chiang Rai,May,1954803,1787880,100,100,1507,3.67
P00168,Health Promotion,North,Chiang Rai,May,1860678,1683730,100,61,344,4.96
P00169,Policy Development,North,Chiang Rai,May,1002942,782050,100,80,2616,4.21
P00170,Network Strengthening,North,Chiang Rai,May,836879,801379,100,95,2843,3.86
P00171,Community Health,North,Chiang Rai,Jun,630284,607979,100,67,777,4.43
P00172,Elderly Care,North,Chiang Rai,Jun,1817836,1521818,100,93,925,3.51
P00173,Mental Health,North,Chiang Rai,Jun,1088143,962442,100,61,517,4.71
P00174,Healthy School,North,Chiang Rai,Jun,1301261,1022616,100,69,808,4.2
P00175,Food Safety,North,Chiang Rai,Jun,791558,557674,100,84,2658,4.34
P00176,NCD Prevention,North,Chiang Rai,Jun,1678434,1257776,100,72,1751,3.78
P00177,Health Data,North,Chiang Rai,Jun,919995,822790,100,93,698,3.79
P00178,Health Promotion,North,Chiang Rai,Jun,1289614,1268664,100,85,700,4.97
P00179,Policy Development,North,Chiang Rai,Jun,766631,629555,100,89,1572,4.37
P00180,Network Strengthening,North,Chiang Rai,Jun,1793715,1424365,100,62,2921,3.61
P00181,Community Health,North,Chiang Rai,Jul,1760598,1758444,100,80,1033,4.29
P00182,Elderly Care,North,Chiang Rai,Jul,512164,452578,100,83,2839,4.27
P00183,Mental Health,North,Chiang Rai,Jul,1727400,1622424,100,98,340,4.06
P00184,Healthy School,North,Chiang Rai,Jul,1058368,860751,100,65,662,4.58
P00185,Food Safety,North,Chiang Rai,Jul,1487177,1075211,100,63,487,4.9
